step,rule,action,rows_affected,detail
2. combine,schema alignment (ก.พ.),rename + แปลง dtype,391,"ordered_at->order_date, qty->quantity, discount_pct->discount ('5%'->0.05)"
3. clean,order_id ต้องไม่ซ้ำ,drop_duplicates(keep='last'),2,"order_id: ['ORD000056', 'ORD000416']"
3. clean,email เป็นตัวพิมพ์เล็ก/ตัดช่องว่าง,str.strip().str.lower(),9,
3. clean,email ว่าง,คงไว้เป็น NULL (ไม่ใช้เป็น key),5,
3. clean,ชื่อจังหวัดเป็นมาตรฐาน,mapping ไทย/อังกฤษ/ตัวย่อ/สะกดผิด,83,ค่าดิบ 14 แบบ -> 6 จังหวัด
3. clean,customer_id ต้องไม่ซ้ำ (dim key),drop_duplicates(keep='last'),3,"customer_id: ['C0012', 'C0045', 'C0088']"
3. clean,product_id ต้องไม่ซ้ำ (dim key),drop_duplicates(keep='last'),0,
3. clean,สินค้า active_flag = N,คงไว้ใน dim แต่ติดธงเพื่อการวิเคราะห์,3,
3. clean,payment_id ต้องไม่ซ้ำ,drop_duplicates(keep='last'),1,
3. clean,1 order = 1 payment event,เก็บ event ล่าสุดตาม paid_at,0,
3. clean,orphan payment (ไม่มี order ต้นทาง),ไม่นำเข้า fact,1,['ORD999999']
4. validate,quantity > 0,คัดออกจาก fact,2,"['ORD000008', 'ORD000368']"
4. validate,unit_price > 0 และไม่เป็นค่าว่าง,คัดออกจาก fact,2,"['ORD000044', 'ORD000404']"
4. validate,0 <= discount <= 1,คัดออกจาก fact,0,[]
4. validate,order_date แปลงเป็น datetime ได้,คัดออกจาก fact,0,
4. integrate,referential integrity: customer_id ต้องมีใน CRM,คัดออกจาก fact,22,"['C0161', 'C0162', 'C0163', 'C0164', 'C0165']"
4. integrate,referential integrity: product_id ต้องมีใน Product Master,คัดออกจาก fact,2,['P999']
4. integrate,order ต้องมี payment event,คัดออกจาก fact (ถือว่ายังไม่ชำระ),0,
4. validate,นับยอดขายเมื่อ payment.status = PAID,คัดออกจาก fact,62,"{'FAILED': 44, 'REFUNDED': 18}"
